"filename", "language", "Vue", "JSON", "JavaScript", "Markdown", "SCSS", "HTML", "JSON with Comments", "CSS", "XML", "TypeScript", "comment", "blank", "total"
"d:\CodeArea\Other\NewsApp\news\.hbuilderx\launch.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 1, 21
"d:\CodeArea\Other\NewsApp\news\App.vue", "Vue", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 29
"d:\CodeArea\Other\NewsApp\news\README.md", "Markdown", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\CodeArea\Other\NewsApp\news\app.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\CodeArea\Other\NewsApp\news\app.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\CodeArea\Other\NewsApp\news\common\uni-ui.scss", "SCSS", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 10, 16, 121
"d:\CodeArea\Other\NewsApp\news\components\custom-back-to-top\custom-back-to-top.vue", "Vue", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 114
"d:\CodeArea\Other\NewsApp\news\components\custom-nomore\custom-nomore.vue", "Vue", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 40
"d:\CodeArea\Other\NewsApp\news\components\custom-refresher\custom-refresher.vue", "Vue", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 59
"d:\CodeArea\Other\NewsApp\news\components\iconfont\iconfont.vue", "Vue", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\CodeArea\Other\NewsApp\news\components\iconfont\iconfontJs.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"d:\CodeArea\Other\NewsApp\news\components\loading\loading.vue", "Vue", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 73
"d:\CodeArea\Other\NewsApp\news\components\loading\pageLoading.vue", "Vue", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 88
