Date : 2022-04-14 16:04:54
Directory : d:\CodeArea\Other\NewsApp\news
Total : 692 files,  71463 codes, 14669 comments, 5960 blanks, all 92092 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Vue                |        254 |     42,901 |      9,059 |      2,848 |     54,808 |
| JavaScript         |        320 |     20,329 |      5,164 |      1,730 |     27,223 |
| JSON               |         31 |      2,241 |         35 |         31 |      2,307 |
| Markdown           |         33 |      1,795 |         17 |        432 |      2,244 |
| SCSS               |         40 |      1,732 |        329 |        395 |      2,456 |
| CSS                |          4 |      1,337 |         44 |        419 |      1,800 |
| XML                |          7 |        996 |          0 |         95 |      1,091 |
| TypeScript         |          1 |         89 |         20 |          8 |        117 |
| HTML               |          1 |         24 |          0 |          1 |         25 |
| JSON with Comments |          1 |         19 |          1 |          1 |         21 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |        692 |     71,463 |     14,669 |      5,960 |     92,092 |
| .hbuilderx                                                                                                                 |          1 |         19 |          1 |          1 |         21 |
| common                                                                                                                     |          1 |         95 |         10 |         16 |        121 |
| components                                                                                                                 |         16 |      1,355 |        213 |        116 |      1,684 |
| components\custom-back-to-top                                                                                              |          1 |         95 |         10 |          9 |        114 |
| components\custom-nomore                                                                                                   |          1 |         33 |          2 |          5 |         40 |
| components\custom-refresher                                                                                                |          1 |         49 |          4 |          6 |         59 |
| components\iconfont                                                                                                        |          2 |         22 |          0 |          1 |         23 |
| components\loading                                                                                                         |          2 |        140 |          0 |         21 |        161 |
| components\my-paging                                                                                                       |          1 |         65 |         18 |          7 |         90 |
| components\sticky-swiper-item                                                                                              |          1 |        130 |         21 |          6 |        157 |
| components\sticky-swiper-next-item                                                                                         |          1 |        117 |         20 |          6 |        143 |
| components\swiper-list-item                                                                                                |          1 |         99 |         12 |          6 |        117 |
| components\tabs-view                                                                                                       |          1 |         92 |         10 |          8 |        110 |
| components\u-tabs-swiper                                                                                                   |          1 |        382 |         87 |         20 |        489 |
| components\uni-section                                                                                                     |          3 |        131 |         29 |         21 |        181 |
| config                                                                                                                     |          3 |         95 |         58 |         22 |        175 |
| http                                                                                                                       |          2 |         88 |         11 |          9 |        108 |
| pages                                                                                                                      |         16 |      3,400 |        334 |        160 |      3,894 |
| pages\anti-epidemic                                                                                                        |          2 |        270 |         26 |         17 |        313 |
| pages\center                                                                                                               |          7 |      1,058 |        138 |         52 |      1,248 |
| pages\common                                                                                                               |          2 |        294 |         15 |         21 |        330 |
| pages\common\login                                                                                                         |          2 |        294 |         15 |         21 |        330 |
| pages\index                                                                                                                |          1 |        216 |          4 |         12 |        232 |
| pages\news-detail                                                                                                          |          3 |      1,413 |        138 |         50 |      1,601 |
| pages\news-titles                                                                                                          |          1 |        149 |         13 |          8 |        170 |
| store                                                                                                                      |          2 |         63 |         21 |          9 |         93 |
| uniCloud-aliyun                                                                                                            |          2 |        547 |          2 |          2 |        551 |
| uniCloud-aliyun\database                                                                                                   |          2 |        547 |          2 |          2 |        551 |
| uni_modules                                                                                                                |        493 |     43,228 |      9,177 |      3,673 |     56,078 |
| uni_modules\n-table                                                                                                        |         13 |      1,983 |        122 |        240 |      2,345 |
| uni_modules\n-table\components                                                                                             |         10 |      1,645 |        122 |        201 |      1,968 |
| uni_modules\n-table\components\n-table                                                                                     |         10 |      1,645 |        122 |        201 |      1,968 |
| uni_modules\uni-badge                                                                                                      |          4 |        336 |         33 |         29 |        398 |
| uni_modules\uni-badge\components                                                                                           |          1 |        213 |         33 |         23 |        269 |
| uni_modules\uni-badge\components\uni-badge                                                                                 |          1 |        213 |         33 |         23 |        269 |
| uni_modules\uni-card                                                                                                       |          4 |        336 |         37 |         29 |        402 |
| uni_modules\uni-card\components                                                                                            |          1 |        214 |         37 |         20 |        271 |
| uni_modules\uni-card\components\uni-card                                                                                   |          1 |        214 |         37 |         20 |        271 |
| uni_modules\uni-config-center                                                                                              |          5 |        170 |          0 |         20 |        190 |
| uni_modules\uni-config-center\uniCloud                                                                                     |          2 |         10 |          0 |          1 |         11 |
| uni_modules\uni-config-center\uniCloud\cloudfunctions                                                                      |          2 |         10 |          0 |          1 |         11 |
| uni_modules\uni-config-center\uniCloud\cloudfunctions\common                                                               |          2 |         10 |          0 |          1 |         11 |
| uni_modules\uni-config-center\uniCloud\cloudfunctions\common\uni-config-center                                             |          2 |         10 |          0 |          1 |         11 |
| uni_modules\uni-icons                                                                                                      |          6 |      1,858 |         14 |        177 |      2,049 |
| uni_modules\uni-icons\components                                                                                           |          3 |      1,744 |         14 |        173 |      1,931 |
| uni_modules\uni-icons\components\uni-icons                                                                                 |          3 |      1,744 |         14 |        173 |      1,931 |
| uni_modules\uni-id                                                                                                         |          7 |        323 |          0 |         48 |        371 |
| uni_modules\uni-id\uniCloud                                                                                                |          4 |        197 |          0 |         36 |        233 |
| uni_modules\uni-id\uniCloud\cloudfunctions                                                                                 |          4 |        197 |          0 |         36 |        233 |
| uni_modules\uni-id\uniCloud\cloudfunctions\common                                                                          |          4 |        197 |          0 |         36 |        233 |
| uni_modules\uni-id\uniCloud\cloudfunctions\common\uni-id                                                                   |          4 |        197 |          0 |         36 |        233 |
| uni_modules\uni-list                                                                                                       |         11 |      1,547 |        243 |        218 |      2,008 |
| uni_modules\uni-list\components                                                                                            |          8 |      1,194 |        233 |        124 |      1,551 |
| uni_modules\uni-list\components\uni-list                                                                                   |          4 |        300 |         38 |         32 |        370 |
| uni_modules\uni-list\components\uni-list-ad                                                                                |          1 |         88 |         10 |         10 |        108 |
| uni_modules\uni-list\components\uni-list-chat                                                                              |          2 |        438 |        109 |         51 |        598 |
| uni_modules\uni-list\components\uni-list-item                                                                              |          1 |        368 |         76 |         31 |        475 |
| uni_modules\uni-load-more                                                                                                  |          4 |        418 |         31 |         73 |        522 |
| uni_modules\uni-load-more\components                                                                                       |          1 |        288 |         31 |         44 |        363 |
| uni_modules\uni-load-more\components\uni-load-more                                                                         |          1 |        288 |         31 |         44 |        363 |
| uni_modules\uni-nav-bar                                                                                                    |          5 |        414 |         60 |         41 |        515 |
| uni_modules\uni-nav-bar\components                                                                                         |          2 |        285 |         60 |         27 |        372 |
| uni_modules\uni-nav-bar\components\uni-nav-bar                                                                             |          2 |        285 |         60 |         27 |        372 |
| uni_modules\uni-popup                                                                                                      |         14 |      1,102 |        218 |         80 |      1,400 |
| uni_modules\uni-popup\components                                                                                           |         11 |        947 |        218 |         67 |      1,232 |
| uni_modules\uni-popup\components\uni-popup                                                                                 |          7 |        435 |        127 |         20 |        582 |
| uni_modules\uni-popup\components\uni-popup-dialog                                                                          |          2 |        259 |         38 |         21 |        318 |
| uni_modules\uni-popup\components\uni-popup-message                                                                         |          1 |        103 |         27 |         14 |        144 |
| uni_modules\uni-popup\components\uni-popup-share                                                                           |          1 |        150 |         26 |         12 |        188 |
| uni_modules\uni-popup\components\uni-popup\i18n                                                                            |          4 |         29 |          0 |          4 |         33 |
| uni_modules\uni-scss                                                                                                       |         15 |        603 |         78 |         62 |        743 |
| uni_modules\uni-scss\styles                                                                                                |          9 |        453 |         54 |         43 |        550 |
| uni_modules\uni-scss\styles\setting                                                                                        |          7 |        429 |         53 |         40 |        522 |
| uni_modules\uni-scss\styles\tools                                                                                          |          1 |         17 |          1 |          2 |         20 |
| uni_modules\uni-transition                                                                                                 |          5 |        445 |         61 |         20 |        526 |
| uni_modules\uni-transition\components                                                                                      |          2 |        332 |         61 |         14 |        407 |
| uni_modules\uni-transition\components\uni-transition                                                                       |          2 |        332 |         61 |         14 |        407 |
| uni_modules\uview-ui                                                                                                       |        369 |     29,006 |      7,573 |      2,418 |     38,997 |
| uni_modules\uview-ui\components                                                                                            |        228 |     22,964 |      5,247 |      1,561 |     29,772 |
| uni_modules\uview-ui\components\u--form                                                                                    |          1 |         55 |         22 |          2 |         79 |
| uni_modules\uview-ui\components\u--image                                                                                   |          1 |         42 |          4 |          1 |         47 |
| uni_modules\uview-ui\components\u--input                                                                                   |          1 |         67 |          4 |          1 |         72 |
| uni_modules\uview-ui\components\u--text                                                                                    |          1 |         38 |          5 |          2 |         45 |
| uni_modules\uview-ui\components\u--textarea                                                                                |          1 |         42 |          4 |          2 |         48 |
| uni_modules\uview-ui\components\u-action-sheet                                                                             |          2 |        268 |         47 |         16 |        331 |
| uni_modules\uview-ui\components\u-album                                                                                    |          2 |        252 |         58 |          9 |        319 |
| uni_modules\uview-ui\components\u-alert                                                                                    |          2 |        235 |         28 |         26 |        289 |
| uni_modules\uview-ui\components\u-avatar                                                                                   |          2 |        193 |         50 |          9 |        252 |
| uni_modules\uview-ui\components\u-avatar-group                                                                             |          2 |        121 |         27 |          9 |        157 |
| uni_modules\uview-ui\components\u-back-top                                                                                 |          2 |        141 |         38 |          6 |        185 |
| uni_modules\uview-ui\components\u-badge                                                                                    |          2 |        184 |         41 |         20 |        245 |
| uni_modules\uview-ui\components\u-button                                                                                   |          4 |        609 |        125 |         46 |        780 |
| uni_modules\uview-ui\components\u-calendar                                                                                 |          5 |      1,026 |        215 |         54 |      1,295 |
| uni_modules\uview-ui\components\u-car-keyboard                                                                             |          2 |        292 |         21 |         14 |        327 |
| uni_modules\uview-ui\components\u-cell                                                                                     |          2 |        258 |         57 |         26 |        341 |
| uni_modules\uview-ui\components\u-cell-group                                                                               |          2 |         53 |         14 |         10 |         77 |
| uni_modules\uview-ui\components\u-cell-item                                                                                |          1 |        236 |         63 |         18 |        317 |
| uni_modules\uview-ui\components\u-checkbox                                                                                 |          2 |        319 |         78 |         18 |        415 |
| uni_modules\uview-ui\components\u-checkbox-group                                                                           |          2 |        128 |         48 |         11 |        187 |
| uni_modules\uview-ui\components\u-circle-progress                                                                          |          2 |        146 |         47 |         15 |        208 |
| uni_modules\uview-ui\components\u-code                                                                                     |          2 |        121 |         40 |          4 |        165 |
| uni_modules\uview-ui\components\u-code-input                                                                               |          2 |        221 |         57 |         11 |        289 |
| uni_modules\uview-ui\components\u-col                                                                                      |          2 |        141 |         33 |         19 |        193 |
| uni_modules\uview-ui\components\u-collapse                                                                                 |          2 |         81 |         25 |          5 |        111 |
| uni_modules\uview-ui\components\u-collapse-item                                                                            |          2 |        216 |         60 |         10 |        286 |
| uni_modules\uview-ui\components\u-column-notice                                                                            |          2 |        176 |         31 |         10 |        217 |
| uni_modules\uview-ui\components\u-count-down                                                                               |          3 |        202 |         44 |          6 |        252 |
| uni_modules\uview-ui\components\u-count-to                                                                                 |          2 |        201 |         39 |          5 |        245 |
| uni_modules\uview-ui\components\u-datetime-picker                                                                          |          2 |        372 |         99 |          5 |        476 |
| uni_modules\uview-ui\components\u-divider                                                                                  |          2 |        125 |         30 |          7 |        162 |
| uni_modules\uview-ui\components\u-dropdown                                                                                 |          2 |        152 |         32 |         10 |        194 |
| uni_modules\uview-ui\components\u-dropdown-item                                                                            |          2 |        147 |         30 |          7 |        184 |
| uni_modules\uview-ui\components\u-empty                                                                                    |          2 |        146 |         36 |          7 |        189 |
| uni_modules\uview-ui\components\u-form                                                                                     |          2 |        195 |         60 |          6 |        261 |
| uni_modules\uview-ui\components\u-form-item                                                                                |          2 |        224 |         40 |         16 |        280 |
| uni_modules\uview-ui\components\u-gap                                                                                      |          2 |         44 |         16 |          4 |         64 |
| uni_modules\uview-ui\components\u-grid                                                                                     |          2 |         92 |         22 |          4 |        118 |
| uni_modules\uview-ui\components\u-grid-item                                                                                |          2 |        163 |         52 |         10 |        225 |
| uni_modules\uview-ui\components\u-icon                                                                                     |          3 |        438 |         76 |         26 |        540 |
| uni_modules\uview-ui\components\u-image                                                                                    |          2 |        228 |         80 |         10 |        318 |
| uni_modules\uview-ui\components\u-index-anchor                                                                             |          2 |         92 |         24 |          6 |        122 |
| uni_modules\uview-ui\components\u-index-item                                                                               |          2 |         68 |         19 |          7 |         94 |
| uni_modules\uview-ui\components\u-index-list                                                                               |          2 |        367 |         91 |         13 |        471 |
| uni_modules\uview-ui\components\u-input                                                                                    |          2 |        400 |        123 |         14 |        537 |
| uni_modules\uview-ui\components\u-keyboard                                                                                 |          2 |        192 |         46 |         12 |        250 |
| uni_modules\uview-ui\components\u-line                                                                                     |          2 |         67 |         23 |          7 |         97 |
| uni_modules\uview-ui\components\u-line-progress                                                                            |          2 |        140 |         25 |          9 |        174 |
| uni_modules\uview-ui\components\u-link                                                                                     |          2 |         83 |         35 |          6 |        124 |
| uni_modules\uview-ui\components\u-list                                                                                     |          2 |        175 |         55 |          7 |        237 |
| uni_modules\uview-ui\components\u-list-item                                                                                |          2 |         98 |         22 |          7 |        127 |
| uni_modules\uview-ui\components\u-loading-icon                                                                             |          2 |        316 |         68 |         20 |        404 |
| uni_modules\uview-ui\components\u-loading-page                                                                             |          2 |        121 |         25 |         10 |        156 |
| uni_modules\uview-ui\components\u-loadmore                                                                                 |          2 |        175 |         41 |         11 |        227 |
| uni_modules\uview-ui\components\u-modal                                                                                    |          2 |        247 |         51 |         15 |        313 |
| uni_modules\uview-ui\components\u-navbar                                                                                   |          2 |        214 |         43 |         15 |        272 |
| uni_modules\uview-ui\components\u-no-network                                                                               |          2 |        212 |         17 |         11 |        240 |
| uni_modules\uview-ui\components\u-notice-bar                                                                               |          2 |        128 |         40 |          5 |        173 |
| uni_modules\uview-ui\components\u-notify                                                                                   |          2 |        194 |         55 |         13 |        262 |
| uni_modules\uview-ui\components\u-number-box                                                                               |          2 |        405 |        107 |         15 |        527 |
| uni_modules\uview-ui\components\u-number-keyboard                                                                          |          2 |        185 |         20 |         12 |        217 |
| uni_modules\uview-ui\components\u-overlay                                                                                  |          2 |         73 |         16 |          5 |         94 |
| uni_modules\uview-ui\components\u-parse                                                                                    |          4 |      1,411 |        336 |        241 |      1,988 |
| uni_modules\uview-ui\components\u-parse\node                                                                               |          1 |        393 |         67 |         39 |        499 |
| uni_modules\uview-ui\components\u-picker                                                                                   |          2 |        279 |         80 |         11 |        370 |
| uni_modules\uview-ui\components\u-picker-column                                                                            |          2 |         20 |          8 |          6 |         34 |
| uni_modules\uview-ui\components\u-popup                                                                                    |          2 |        313 |         54 |         18 |        385 |
| uni_modules\uview-ui\components\u-radio                                                                                    |          2 |        307 |         78 |         18 |        403 |
| uni_modules\uview-ui\components\u-radio-group                                                                              |          2 |        135 |         50 |         10 |        195 |
| uni_modules\uview-ui\components\u-rate                                                                                     |          2 |        278 |         79 |         12 |        369 |
| uni_modules\uview-ui\components\u-read-more                                                                                |          2 |        165 |         46 |          9 |        220 |
| uni_modules\uview-ui\components\u-row                                                                                      |          2 |         83 |         25 |          6 |        114 |
| uni_modules\uview-ui\components\u-row-notice                                                                               |          2 |        253 |         79 |         15 |        347 |
| uni_modules\uview-ui\components\u-safe-bottom                                                                              |          2 |         40 |         18 |          5 |         63 |
| uni_modules\uview-ui\components\u-scroll-list                                                                              |          5 |        276 |         47 |         20 |        343 |
| uni_modules\uview-ui\components\u-search                                                                                   |          2 |        326 |         82 |         15 |        423 |
| uni_modules\uview-ui\components\u-skeleton                                                                                 |          2 |        228 |         58 |         19 |        305 |
| uni_modules\uview-ui\components\u-slider                                                                                   |          7 |        569 |        165 |         31 |        765 |
| uni_modules\uview-ui\components\u-status-bar                                                                               |          2 |         40 |         12 |          4 |         56 |
| uni_modules\uview-ui\components\u-steps                                                                                    |          2 |         90 |         24 |          7 |        121 |
| uni_modules\uview-ui\components\u-steps-item                                                                               |          2 |        291 |         27 |         24 |        342 |
| uni_modules\uview-ui\components\u-sticky                                                                                   |          2 |        182 |         64 |          8 |        254 |
| uni_modules\uview-ui\components\u-subsection                                                                               |          2 |        275 |         57 |         18 |        350 |
| uni_modules\uview-ui\components\u-swipe-action                                                                             |          2 |         58 |         15 |          5 |         78 |
| uni_modules\uview-ui\components\u-swipe-action-item                                                                        |          7 |        979 |        143 |         56 |      1,178 |
| uni_modules\uview-ui\components\u-swiper                                                                                   |          2 |        293 |         68 |         12 |        373 |
| uni_modules\uview-ui\components\u-swiper-indicator                                                                         |          2 |        111 |         18 |         12 |        141 |
| uni_modules\uview-ui\components\u-switch                                                                                   |          2 |        179 |         42 |          8 |        229 |
| uni_modules\uview-ui\components\u-tabbar                                                                                   |          2 |        140 |         38 |          9 |        187 |
| uni_modules\uview-ui\components\u-tabbar-item                                                                              |          2 |        139 |         30 |         10 |        179 |
| uni_modules\uview-ui\components\u-table                                                                                    |          2 |         22 |          6 |          8 |         36 |
| uni_modules\uview-ui\components\u-tabs                                                                                     |          2 |        331 |         66 |         16 |        413 |
| uni_modules\uview-ui\components\u-tabs-item                                                                                |          2 |         22 |          8 |          6 |         36 |
| uni_modules\uview-ui\components\u-tag                                                                                      |          2 |        345 |         53 |         46 |        444 |
| uni_modules\uview-ui\components\u-td                                                                                       |          2 |         22 |          8 |          8 |         38 |
| uni_modules\uview-ui\components\u-text                                                                                     |          3 |        323 |         81 |         17 |        421 |
| uni_modules\uview-ui\components\u-textarea                                                                                 |          2 |        264 |         79 |         10 |        353 |
| uni_modules\uview-ui\components\u-toast                                                                                    |          1 |        233 |         42 |         17 |        292 |
| uni_modules\uview-ui\components\u-toolbar                                                                                  |          2 |        109 |         21 |          8 |        138 |
| uni_modules\uview-ui\components\u-tooltip                                                                                  |          3 |        388 |         78 |         19 |        485 |
| uni_modules\uview-ui\components\u-tr                                                                                       |          2 |         22 |          8 |          8 |         38 |
| uni_modules\uview-ui\components\u-transition                                                                               |          5 |        331 |         96 |         30 |        457 |
| uni_modules\uview-ui\components\u-upload                                                                                   |          4 |        708 |        108 |         29 |        845 |
| uni_modules\uview-ui\components\uview-ui                                                                                   |          1 |         11 |          0 |          5 |         16 |
